exchange,market,best bid (USD),bid depth (TRX), best ask (USD),ask depth (TRX), market price (USD),total depth (TRX)
bitfinex,TRX/USD,0.026566,41961.53321385,0.026599,26071.71109291,0.026578646265437333,68033.24430676
bitfinex2,TRX/USD,0.026537,41961.91206114,0.0266,1044.77616911,0.02653853048052204,43006.68823025
bittrex,TRX/USD,0.02655,1006.97779403,0.0267,40056.113,0.02669632159522862,41063.090794029995
btcalpha,TRX/USD,0.0265,298.4717,0.031,527.5575986599999,0.029374001198046073,826.02929866
exmo,TRX/USD,0.02640819,448.87013044,0.02680271,24.50701324,0.026428614532516045,473.37714368
livecoin,TRX/USD,0.0264,937.26727674,0.02749,950.27396987,0.026948755492903043,1887.5412466100001
okcoinusd,TRX/USD,0.02652,69383.7431,0.0267,298589.1095,0.0266660597957981,367972.85260000004
yobit,TRX/USD,0.02645369,716.65666552,0.02732528,1332.12156344,0.027020400353061517,2048.77822896
