exchange,market,best bid (USD),bid depth (XMR), best ask (USD),ask depth (XMR), market price (USD),total depth (XMR)
bitfinex,XMR/USD,83.964,25.50200522,84.01,0.06,83.96410797275003,25.56200522
bitfinex2,XMR/USD,83.968,1.90977818,84.01,0.06,83.96927933186873,1.96977818
exmo,XMR/USD,83.76416805,0.55409385,84.35027791,0.20959812,83.92502809514288,0.76369197
kraken,XMR/USD,84.18,1.767,84.36,4.7,84.31081799907221,6.4670000000000005
livecoin,XMR/USD,58.08193,0.9317253,60.00008,3.61203267,59.60675163700294,4.54375797
southxchange,XMR/USD,58.3682,6.1,61.9512,0.408097665,58.59287608953669,6.508097664999999
