exchange,market,best bid (USD),bid depth (VET), best ask (USD),ask depth (VET), market price (USD),total depth (VET)
bitfinex,VET/USD,0.0070029,498464.0,0.0074642,812872.0,0.00728885100996236,1311336.0
bitfinex2,VET/USD,0.0070029,498464,0.0074642,812872,0.00728885100996236,1311336
rightbtc,VET/USD,0.0073343,738.9949,0.0073386,189.6159,0.007335178030246902,928.6108
