exchange,market,best bid (USD),bid depth (ADA), best ask (USD),ask depth (ADA), market price (USD),total depth (ADA)
bittrex,ADA/USD,0.07724,146148.0,0.07826,67303.0,0.07756161507793358,213451.0
exmo,ADA/USD,0.07746827,4.46994608,0.07801016,3.29587467,0.07769825232671367,7.76582075
kraken,ADA/USD,0.077499,6.665,0.077513,28340.0,0.07751299670825475,28346.665
okcoinusd,ADA/USD,0.0774,12874.85719035,0.0777,82391.98405463,0.07765945643723851,95266.84124498
