exchange,market,best bid (USD),bid depth (USDC), best ask (USD),ask depth (USDC), market price (USD),total depth (USDC)
crex24,USDC/USD,0.9855,0.53,1.0057,62.5,1.005530144375694,63.03
livecoin,USDC/USD,0.99501,1.02649373,1.01999,3.22229725,1.0139549153144738,4.24879098
okcoinusd,USDC/USD,0.9985,632.4447,1.0009,1615.3596,1.0002247333497851,2247.8043
southxchange,USDC/USD,0.7501,6.352319,7.76,1.807414,2.3028213204892856,8.159733
