exchange,market,best bid (USD),bid depth (BTG), best ask (USD),ask depth (BTG), market price (USD),total depth (BTG)
bitbay,BTG/USD,22.41,1.0,25.0,0.75,23.52,1.75
bitfinex,BTG/USD,22.605,6.23754182,22.723,28.46932585,22.70179295989029,34.70686767
bitfinex2,BTG/USD,22.605,6.23754182,22.723,28.46932585,22.70179295989029,34.70686767
cex,BTG/USD,22.58,20.02616156,22.67,29.63065208,22.633703781852244,49.656813639999996
dsx,BTG/USD,21.55,1.4,23.0,0.107,21.65295288652953,1.507
exmo,BTG/USD,22.50112669,1.69619542,22.73749719,9.44,22.70149471838361,11.13619542
livecoin,BTG/USD,22.50827,0.46881184,25.00623,0.03680515,22.690102878072395,0.5056169899999999
lykke,BTG/USD,20.6,0.78147106,22.798,0.295,21.202347823451937,1.07647106
southxchange,BTG/USD,22.4649,6.7429984,25.0,0.98447965,22.787871394362618,7.72747805
