exchange,market,best bid (USD),bid depth (BSV), best ask (USD),ask depth (BSV), market price (USD),total depth (BSV)
bitfinex,BSV/USD,99.977,12.18687048,100.5,20.0,100.30197722965953,32.186870479999996
bitfinex2,BSV/USD,99.987,1,100.5,20,100.47557142857143,21
bittrex,BSV/USD,99.836,39.8294377,102.908,46.67,101.49347019647968,86.4994377
dsx,BSV/USD,91.0,0.5408,103.88176,4.2216,102.41895641189316,4.7623999999999995
lykke,BSV/USD,80.0,0.2,110.0,0.2,95.0,0.4
okcoinusd,BSV/USD,100.41,18.8291,100.66,89.7364,100.61664115211555,108.5655
rightbtc,BSV/USD,100.175,0.598,100.77,0.048,100.21921052631578,0.646
southxchange,BSV/USD,100.291,0.551878,107.0975,0.01887,100.51603566372549,0.570748
yobit,BSV/USD,96.84736184,0.01606402,103.99999796,0.1516118,103.31474656427461,0.16767581999999998
